Qualification,Subject,Year,n,pc,Number of entries,Grade threshold
Advanced highers (SCQF level 7),Mathematics of Mechanics,2021,289,0.9059999999999999,319,D & above
Advanced highers (SCQF level 7),Mathematics of Mechanics,2021,30,0.094,319,U
Advanced highers (SCQF level 7),Modern Studies,2021,489,0.45299999999999996,"1,079",A
Advanced highers (SCQF level 7),Modern Studies,2021,789,0.731,"1,079",B & above
Advanced highers (SCQF level 7),Modern Studies,2021,994,0.9209999999999999,"1,079",C & above
Advanced highers (SCQF level 7),Modern Studies,2021,1049,0.972,"1,079",D & above
Advanced highers (SCQF level 7),Modern Studies,2021,30,0.027999999999999997,"1,079",U
Advanced highers (SCQF level 7),Music,2021,1298,0.6970000000000001,"1,862",A
Advanced highers (SCQF level 7),Music,2021,1650,0.8859999999999999,"1,862",B & above
Advanced highers (SCQF level 7),Music,2021,1821,0.978,"1,862",C & above
Advanced highers (SCQF level 7),Music,2021,1847,0.992,"1,862",D & above
Advanced highers (SCQF level 7),Music,2021,15,0.008,"1,862",U
Advanced highers (SCQF level 7),Physical Education,2021,404,0.501,807,A
Advanced highers (SCQF level 7),Physical Education,2021,624,0.773,807,B & above
Advanced highers (SCQF level 7),Physical Education,2021,759,0.941,807,C & above
Advanced highers (SCQF level 7),Physical Education,2021,793,0.983,807,D & above
Advanced highers (SCQF level 7),Physical Education,2021,14,0.017,807,U
Advanced highers (SCQF level 7),Physics,2021,1005,0.517,"1,944",A
Advanced highers (SCQF level 7),Physics,2021,1437,0.7390000000000001,"1,944",B & above
Advanced highers (SCQF level 7),Physics,2021,1713,0.8809999999999999,"1,944",C & above
Advanced highers (SCQF level 7),Physics,2021,1845,0.9490000000000001,"1,944",D & above
Advanced highers (SCQF level 7),Physics,2021,99,0.051,"1,944",U
Advanced highers (SCQF level 7),"Religious, Moral and Philosophical Studies",2021,155,0.654,237,A
Advanced highers (SCQF level 7),"Religious, Moral and Philosophical Studies",2021,200,0.8440000000000001,237,B & above
Advanced highers (SCQF level 7),"Religious, Moral and Philosophical Studies",2021,230,0.97,237,C & above
Advanced highers (SCQF level 7),"Religious, Moral and Philosophical Studies",2021,234,0.987,237,D & above
Advanced highers (SCQF level 7),"Religious, Moral and Philosophical Studies",2021,3,0.013000000000000001,237,U
Advanced highers (SCQF level 7),Spanish,2021,282,0.609,463,A
Advanced highers (SCQF level 7),Spanish,2021,371,0.8009999999999999,463,B & above
Advanced highers (SCQF level 7),Spanish,2021,430,0.929,463,C & above
Advanced highers (SCQF level 7),Spanish,2021,449,0.97,463,D & above
Advanced highers (SCQF level 7),Spanish,2021,14,0.03,463,U
Advanced highers (SCQF level 7),Statistics,2021,142,0.6890000000000001,206,A
Advanced highers (SCQF level 7),Statistics,2021,169,0.82,206,B & above
Advanced highers (SCQF level 7),Statistics,2021,187,0.9079999999999999,206,C & above
Advanced highers (SCQF level 7),Statistics,2021,194,0.9420000000000001,206,D & above
Advanced highers (SCQF level 7),Statistics,2021,12,0.057999999999999996,206,U
Advanced highers (SCQF level 7),All subjects,2021,13654,0.51,"26,795",A
Advanced highers (SCQF level 7),All subjects,2021,19888,0.742,"26,795",B & above
Advanced highers (SCQF level 7),All subjects,2021,24162,0.902,"26,795",C & above
Advanced highers (SCQF level 7),All subjects,2021,25644,0.9570000000000001,"26,795",D & above
Advanced highers (SCQF level 7),All subjects,2021,1151,0.043,"26,795",U
Advanced highers (SCQF level 7),Art and Design (Design),2020,241,0.447,539,A
Advanced highers (SCQF level 7),Art and Design (Design),2020,429,0.7959999999999999,539,B & above
Advanced highers (SCQF level 7),Art and Design (Design),2020,514,0.9540000000000001,539,C & above
Advanced highers (SCQF level 7),Art and Design (Design),2020,530,0.983,539,D & above
Advanced highers (SCQF level 7),Art and Design (Design),2020,9,0.017,539,U
Advanced highers (SCQF level 7),Art and Design (Expressive),2020,473,0.465,"1,017",A
Advanced highers (SCQF level 7),Art and Design (Expressive),2020,815,0.8009999999999999,"1,017",B & above
Advanced highers (SCQF level 7),Art and Design (Expressive),2020,985,0.9690000000000001,"1,017",C & above
Advanced highers (SCQF level 7),Art and Design (Expressive),2020,1007,0.99,"1,017",D & above
Advanced highers (SCQF level 7),Art and Design (Expressive),2020,10,0.01,"1,017",U
Advanced highers (SCQF level 7),Biology,2020,908,0.36200000000000004,"2,511",A
Advanced highers (SCQF level 7),Biology,2020,1628,0.648,"2,511",B & above
Advanced highers (SCQF level 7),Biology,2020,2240,0.892,"2,511",C & above
Advanced highers (SCQF level 7),Biology,2020,2428,0.9670000000000001,"2,511",D & above
Advanced highers (SCQF level 7),Biology,2020,83,0.033,"2,511",U
Advanced highers (SCQF level 7),Business Management,2020,283,0.505,560,A
Advanced highers (SCQF level 7),Business Management,2020,452,0.807,560,B & above
Advanced highers (SCQF level 7),Business Management,2020,536,0.9570000000000001,560,C & above
Advanced highers (SCQF level 7),Business Management,2020,555,0.991,560,D & above
Advanced highers (SCQF level 7),Business Management,2020,5,0.009000000000000001,560,U
Advanced highers (SCQF level 7),Chemistry,2020,1095,0.429,"2,555",A
Advanced highers (SCQF level 7),Chemistry,2020,1820,0.7120000000000001,"2,555",B & above
Advanced highers (SCQF level 7),Chemistry,2020,2369,0.927,"2,555",C & above
Advanced highers (SCQF level 7),Chemistry,2020,2505,0.98,"2,555",D & above
Advanced highers (SCQF level 7),Chemistry,2020,50,0.02,"2,555",U
Advanced highers (SCQF level 7),Computing Science,2020,218,0.44299999999999995,492,A
Advanced highers (SCQF level 7),Computing Science,2020,375,0.762,492,B & above
Advanced highers (SCQF level 7),Computing Science,2020,462,0.9390000000000001,492,C & above
Advanced highers (SCQF level 7),Computing Science,2020,479,0.9740000000000001,492,D & above
Advanced highers (SCQF level 7),Computing Science,2020,13,0.026000000000000002,492,U
Advanced highers (SCQF level 7),Drama,2020,268,0.494,542,A
Advanced highers (SCQF level 7),Drama,2020,438,0.8079999999999999,542,B & above
Advanced highers (SCQF level 7),Drama,2020,530,0.978,542,C & above
Advanced highers (SCQF level 7),Drama,2020,541,0.998,542,D & above
Advanced highers (SCQF level 7),Drama,2020,1,0.002,542,U
Advanced highers (SCQF level 7),English,2020,835,0.373,"2,241",A
Advanced highers (SCQF level 7),English,2020,1543,0.6890000000000001,"2,241",B & above
Advanced highers (SCQF level 7),English,2020,2073,0.925,"2,241",C & above
Advanced highers (SCQF level 7),English,2020,2196,0.98,"2,241",D & above
Advanced highers (SCQF level 7),English,2020,45,0.02,"2,241",U
Advanced highers (SCQF level 7),French,2020,341,0.594,574,A
Advanced highers (SCQF level 7),French,2020,492,0.857,574,B & above
Advanced highers (SCQF level 7),French,2020,554,0.965,574,C & above
Advanced highers (SCQF level 7),French,2020,572,0.997,574,D & above
Advanced highers (SCQF level 7),French,2020,2,0.003,574,U
Advanced highers (SCQF level 7),Geography,2020,318,0.424,750,A
Advanced highers (SCQF level 7),Geography,2020,564,0.752,750,B & above
Advanced highers (SCQF level 7),Geography,2020,715,0.953,750,C & above
Advanced highers (SCQF level 7),Geography,2020,740,0.987,750,D & above
Advanced highers (SCQF level 7),Geography,2020,10,0.013000000000000001,750,U
Advanced highers (SCQF level 7),German,2020,52,0.491,106,A
Advanced highers (SCQF level 7),German,2020,80,0.755,106,B & above
Advanced highers (SCQF level 7),German,2020,100,0.943,106,C & above
Advanced highers (SCQF level 7),German,2020,102,0.9620000000000001,106,D & above
Advanced highers (SCQF level 7),German,2020,4,0.038,106,U
Advanced highers (SCQF level 7),Graphic Communication,2020,95,0.254,374,A
Advanced highers (SCQF level 7),Graphic Communication,2020,231,0.618,374,B & above
Advanced highers (SCQF level 7),Graphic Communication,2020,344,0.92,374,C & above
Advanced highers (SCQF level 7),Graphic Communication,2020,364,0.973,374,D & above
Advanced highers (SCQF level 7),Graphic Communication,2020,10,0.027000000000000003,374,U
Advanced highers (SCQF level 7),History,2020,493,0.40299999999999997,"1,224",A
Advanced highers (SCQF level 7),History,2020,916,0.748,"1,224",B & above
Advanced highers (SCQF level 7),History,2020,1147,0.937,"1,224",C & above
Advanced highers (SCQF level 7),History,2020,1201,0.981,"1,224",D & above
Advanced highers (SCQF level 7),History,2020,23,0.019,"1,224",U
Advanced highers (SCQF level 7),Mathematics,2020,1740,0.479,"3,635",A
Advanced highers (SCQF level 7),Mathematics,2020,2543,0.7,"3,635",B & above
Advanced highers (SCQF level 7),Mathematics,2020,3241,0.892,"3,635",C & above
Advanced highers (SCQF level 7),Mathematics,2020,3459,0.9520000000000001,"3,635",D & above
Advanced highers (SCQF level 7),Mathematics,2020,176,0.048,"3,635",U
Advanced highers (SCQF level 7),Mathematics of Mechanics,2020,208,0.654,318,A
Advanced highers (SCQF level 7),Mathematics of Mechanics,2020,253,0.7959999999999999,318,B & above
Advanced highers (SCQF level 7),Mathematics of Mechanics,2020,294,0.925,318,C & above
Advanced highers (SCQF level 7),Mathematics of Mechanics,2020,307,0.965,318,D & above
Advanced highers (SCQF level 7),Mathematics of Mechanics,2020,11,0.035,318,U
Advanced highers (SCQF level 7),Modern Studies,2020,363,0.41,886,A
Advanced highers (SCQF level 7),Modern Studies,2020,634,0.716,886,B & above
Advanced highers (SCQF level 7),Modern Studies,2020,816,0.9209999999999999,886,C & above
Advanced highers (SCQF level 7),Modern Studies,2020,866,0.977,886,D & above
Advanced highers (SCQF level 7),Modern Studies,2020,20,0.023,886,U
Advanced highers (SCQF level 7),Music,2020,1102,0.669,"1,648",A
Advanced highers (SCQF level 7),Music,2020,1449,0.879,"1,648",B & above
Advanced highers (SCQF level 7),Music,2020,1616,0.981,"1,648",C & above
Advanced highers (SCQF level 7),Music,2020,1638,0.9940000000000001,"1,648",D & above
Advanced highers (SCQF level 7),Music,2020,10,0.006,"1,648",U
Advanced highers (SCQF level 7),Physical Education,2020,244,0.47600000000000003,513,A
Advanced highers (SCQF level 7),Physical Education,2020,393,0.7659999999999999,513,B & above
Advanced highers (SCQF level 7),Physical Education,2020,488,0.951,513,C & above
Advanced highers (SCQF level 7),Physical Education,2020,507,0.988,513,D & above
Advanced highers (SCQF level 7),Physical Education,2020,6,0.012,513,U
Advanced highers (SCQF level 7),Physics,2020,864,0.506,"1,709",A
Advanced highers (SCQF level 7),Physics,2020,1285,0.752,"1,709",B & above
Advanced highers (SCQF level 7),Physics,2020,1592,0.932,"1,709",C & above
Advanced highers (SCQF level 7),Physics,2020,1668,0.976,"1,709",D & above
Advanced highers (SCQF level 7),Physics,2020,41,0.024,"1,709",U
Advanced highers (SCQF level 7),"Religious, Moral and Philosophical Studies",2020,97,0.539,180,A
Advanced highers (SCQF level 7),"Religious, Moral and Philosophical Studies",2020,149,0.828,180,B & above
