Qualification,Subject,Year,n,pc,Number of entries,Grade threshold
Highers (SCQF level 6),Italian,2021,6,0.033,180,U
Highers (SCQF level 6),Latin,2021,215,0.863,249,A
Highers (SCQF level 6),Latin,2021,236,0.948,249,B & above
Highers (SCQF level 6),Latin,2021,247,0.992,249,C & above
Highers (SCQF level 6),Latin,2021,249,1,249,D & above
Highers (SCQF level 6),Latin,2021,0,0,249,U
Highers (SCQF level 6),Mathematics,2021,9146,0.47100000000000003,"19,419",A
Highers (SCQF level 6),Mathematics,2021,12541,0.6459999999999999,"19,419",B & above
Highers (SCQF level 6),Mathematics,2021,15562,0.8009999999999999,"19,419",C & above
Highers (SCQF level 6),Mathematics,2021,16995,0.875,"19,419",D & above
Highers (SCQF level 6),Mathematics,2021,2424,0.125,"19,419",U
Highers (SCQF level 6),Media,2021,504,0.48700000000000004,"1,035",A
Highers (SCQF level 6),Media,2021,772,0.746,"1,035",B & above
Highers (SCQF level 6),Media,2021,937,0.905,"1,035",C & above
Highers (SCQF level 6),Media,2021,986,0.953,"1,035",D & above
Highers (SCQF level 6),Media,2021,49,0.047,"1,035",U
Highers (SCQF level 6),Modern Studies,2021,5357,0.562,"9,531",A
Highers (SCQF level 6),Modern Studies,2021,7321,0.768,"9,531",B & above
Highers (SCQF level 6),Modern Studies,2021,8646,0.907,"9,531",C & above
Highers (SCQF level 6),Modern Studies,2021,9167,0.9620000000000001,"9,531",D & above
Highers (SCQF level 6),Modern Studies,2021,364,0.038,"9,531",U
Highers (SCQF level 6),Music,2021,3387,0.649,"5,216",A
Highers (SCQF level 6),Music,2021,4525,0.868,"5,216",B & above
Highers (SCQF level 6),Music,2021,5081,0.9740000000000001,"5,216",C & above
Highers (SCQF level 6),Music,2021,5167,0.991,"5,216",D & above
Highers (SCQF level 6),Music,2021,49,0.009000000000000001,"5,216",U
Highers (SCQF level 6),Music Technology,2021,495,0.542,913,A
Highers (SCQF level 6),Music Technology,2021,716,0.784,913,B & above
Highers (SCQF level 6),Music Technology,2021,857,0.9390000000000001,913,C & above
Highers (SCQF level 6),Music Technology,2021,895,0.98,913,D & above
Highers (SCQF level 6),Music Technology,2021,18,0.02,913,U
Highers (SCQF level 6),Philosophy,2021,397,0.485,819,A
Highers (SCQF level 6),Philosophy,2021,589,0.7190000000000001,819,B & above
Highers (SCQF level 6),Philosophy,2021,717,0.875,819,C & above
Highers (SCQF level 6),Philosophy,2021,774,0.945,819,D & above
Highers (SCQF level 6),Philosophy,2021,45,0.055,819,U
Highers (SCQF level 6),Photography,2021,1069,0.42200000000000004,"2,532",A
Highers (SCQF level 6),Photography,2021,1835,0.725,"2,532",B & above
Highers (SCQF level 6),Photography,2021,2335,0.922,"2,532",C & above
Highers (SCQF level 6),Photography,2021,2439,0.963,"2,532",D & above
Highers (SCQF level 6),Photography,2021,93,0.037000000000000005,"2,532",U
Highers (SCQF level 6),Physical Education,2021,5341,0.45299999999999996,"11,803",A
Highers (SCQF level 6),Physical Education,2021,8510,0.721,"11,803",B & above
Highers (SCQF level 6),Physical Education,2021,10957,0.9279999999999999,"11,803",C & above
Highers (SCQF level 6),Physical Education,2021,11614,0.9840000000000001,"11,803",D & above
Highers (SCQF level 6),Physical Education,2021,189,0.016,"11,803",U
Highers (SCQF level 6),Physics,2021,3598,0.424,"8,481",A
Highers (SCQF level 6),Physics,2021,5321,0.627,"8,481",B & above
Highers (SCQF level 6),Physics,2021,6850,0.8079999999999999,"8,481",C & above
Highers (SCQF level 6),Physics,2021,7667,0.904,"8,481",D & above
Highers (SCQF level 6),Physics,2021,814,0.096,"8,481",U
Highers (SCQF level 6),Politics,2021,1006,0.5539999999999999,"1,816",A
Highers (SCQF level 6),Politics,2021,1413,0.778,"1,816",B & above
Highers (SCQF level 6),Politics,2021,1686,0.9279999999999999,"1,816",C & above
Highers (SCQF level 6),Politics,2021,1755,0.966,"1,816",D & above
Highers (SCQF level 6),Politics,2021,61,0.034,"1,816",U
Highers (SCQF level 6),Psychology,2021,1488,0.494,"3,012",A
Highers (SCQF level 6),Psychology,2021,2108,0.7,"3,012",B & above
Highers (SCQF level 6),Psychology,2021,2570,0.853,"3,012",C & above
Highers (SCQF level 6),Psychology,2021,2752,0.914,"3,012",D & above
Highers (SCQF level 6),Psychology,2021,260,0.086,"3,012",U
Highers (SCQF level 6),"Religious, Moral and Philosophical Studies",2021,2175,0.562,"3,870",A
Highers (SCQF level 6),"Religious, Moral and Philosophical Studies",2021,2956,0.764,"3,870",B & above
Highers (SCQF level 6),"Religious, Moral and Philosophical Studies",2021,3488,0.9009999999999999,"3,870",C & above
Highers (SCQF level 6),"Religious, Moral and Philosophical Studies",2021,3682,0.951,"3,870",D & above
Highers (SCQF level 6),"Religious, Moral and Philosophical Studies",2021,188,0.049,"3,870",U
Highers (SCQF level 6),Sociology,2021,442,0.531,832,A
Highers (SCQF level 6),Sociology,2021,618,0.743,832,B & above
Highers (SCQF level 6),Sociology,2021,731,0.879,832,C & above
Highers (SCQF level 6),Sociology,2021,765,0.919,832,D & above
Highers (SCQF level 6),Sociology,2021,67,0.081,832,U
Highers (SCQF level 6),Spanish,2021,2002,0.664,"3,014",A
Highers (SCQF level 6),Spanish,2021,2510,0.833,"3,014",B & above
Highers (SCQF level 6),Spanish,2021,2839,0.9420000000000001,"3,014",C & above
Highers (SCQF level 6),Spanish,2021,2960,0.982,"3,014",D & above
Highers (SCQF level 6),Spanish,2021,54,0.018000000000000002,"3,014",U
Highers (SCQF level 6),All subjects,2021,92753,0.47600000000000003,"194,661",A
Highers (SCQF level 6),All subjects,2021,135866,0.698,"194,661",B & above
Highers (SCQF level 6),All subjects,2021,169989,0.873,"194,661",C & above
Highers (SCQF level 6),All subjects,2021,183655,0.943,"194,661",D & above
Highers (SCQF level 6),All subjects,2021,11006,0.057,"194,661",U
Highers (SCQF level 6),Accounting,2020,584,0.508,"1,150",A
Highers (SCQF level 6),Accounting,2020,858,0.746,"1,150",B & above
Highers (SCQF level 6),Accounting,2020,1049,0.912,"1,150",C & above
Highers (SCQF level 6),Accounting,2020,1101,0.9570000000000001,"1,150",D & above
Highers (SCQF level 6),Accounting,2020,49,0.043,"1,150",U
Highers (SCQF level 6),Administration and IT,2020,1590,0.40299999999999997,"3,948",A
Highers (SCQF level 6),Administration and IT,2020,2771,0.7020000000000001,"3,948",B & above
Highers (SCQF level 6),Administration and IT,2020,3630,0.919,"3,948",C & above
Highers (SCQF level 6),Administration and IT,2020,3854,0.976,"3,948",D & above
Highers (SCQF level 6),Administration and IT,2020,94,0.024,"3,948",U
Highers (SCQF level 6),Art and Design,2020,2188,0.413,"5,294",A
Highers (SCQF level 6),Art and Design,2020,3911,0.7390000000000001,"5,294",B & above
Highers (SCQF level 6),Art and Design,2020,5078,0.9590000000000001,"5,294",C & above
Highers (SCQF level 6),Art and Design,2020,5235,0.9890000000000001,"5,294",D & above
Highers (SCQF level 6),Art and Design,2020,59,0.011000000000000001,"5,294",U
Highers (SCQF level 6),Biology,2020,2655,0.35700000000000004,"7,428",A
Highers (SCQF level 6),Biology,2020,4519,0.608,"7,428",B & above
Highers (SCQF level 6),Biology,2020,6311,0.85,"7,428",C & above
Highers (SCQF level 6),Biology,2020,7065,0.951,"7,428",D & above
Highers (SCQF level 6),Biology,2020,363,0.049,"7,428",U
Highers (SCQF level 6),Business Management,2020,3180,0.389,"8,172",A
Highers (SCQF level 6),Business Management,2020,5542,0.6779999999999999,"8,172",B & above
Highers (SCQF level 6),Business Management,2020,7341,0.898,"8,172",C & above
Highers (SCQF level 6),Business Management,2020,7897,0.966,"8,172",D & above
Highers (SCQF level 6),Business Management,2020,275,0.034,"8,172",U
Highers (SCQF level 6),Care,2020,150,0.209,719,A
Highers (SCQF level 6),Care,2020,375,0.522,719,B & above
Highers (SCQF level 6),Care,2020,588,0.818,719,C & above
Highers (SCQF level 6),Care,2020,654,0.91,719,D & above
Highers (SCQF level 6),Care,2020,65,0.09,719,U
Highers (SCQF level 6),Chemistry,2020,4086,0.40700000000000003,"10,038",A
Highers (SCQF level 6),Chemistry,2020,6643,0.662,"10,038",B & above
Highers (SCQF level 6),Chemistry,2020,8863,0.883,"10,038",C & above
Highers (SCQF level 6),Chemistry,2020,9643,0.961,"10,038",D & above
Highers (SCQF level 6),Chemistry,2020,395,0.039,"10,038",U
Highers (SCQF level 6),Childcare and Development,2020,89,0.297,300,A
Highers (SCQF level 6),Childcare and Development,2020,187,0.623,300,B & above
Highers (SCQF level 6),Childcare and Development,2020,255,0.85,300,C & above
Highers (SCQF level 6),Childcare and Development,2020,278,0.927,300,D & above
Highers (SCQF level 6),Childcare and Development,2020,22,0.073,300,U
Highers (SCQF level 6),Chinese Languages,2020,129,0.8540000000000001,151,A
Highers (SCQF level 6),Chinese Languages,2020,142,0.94,151,B & above
Highers (SCQF level 6),Chinese Languages,2020,151,1,151,C & above
Highers (SCQF level 6),Chinese Languages,2020,151,1,151,D & above
Highers (SCQF level 6),Chinese Languages,2020,0,0,151,U
Highers (SCQF level 6),Classical Studies,2020,222,0.493,450,A
Highers (SCQF level 6),Classical Studies,2020,341,0.758,450,B & above
Highers (SCQF level 6),Classical Studies,2020,421,0.9359999999999999,450,C & above
Highers (SCQF level 6),Classical Studies,2020,440,0.978,450,D & above
Highers (SCQF level 6),Classical Studies,2020,10,0.022000000000000002,450,U
Highers (SCQF level 6),Computing Science,2020,1241,0.392,"3,166",A
Highers (SCQF level 6),Computing Science,2020,2060,0.6509999999999999,"3,166",B & above
Highers (SCQF level 6),Computing Science,2020,2825,0.892,"3,166",C & above
Highers (SCQF level 6),Computing Science,2020,3051,0.9640000000000001,"3,166",D & above
Highers (SCQF level 6),Computing Science,2020,115,0.036000000000000004,"3,166",U
Highers (SCQF level 6),Dance,2020,286,0.561,510,A
Highers (SCQF level 6),Dance,2020,419,0.8220000000000001,510,B & above
Highers (SCQF level 6),Dance,2020,493,0.9670000000000001,510,C & above
Highers (SCQF level 6),Dance,2020,506,0.992,510,D & above
Highers (SCQF level 6),Dance,2020,4,0.008,510,U
Highers (SCQF level 6),Design and Manufacture,2020,537,0.27399999999999997,"1,963",A
Highers (SCQF level 6),Design and Manufacture,2020,1168,0.595,"1,963",B & above
Highers (SCQF level 6),Design and Manufacture,2020,1731,0.882,"1,963",C & above
Highers (SCQF level 6),Design and Manufacture,2020,1908,0.972,"1,963",D & above
Highers (SCQF level 6),Design and Manufacture,2020,55,0.027999999999999997,"1,963",U
Highers (SCQF level 6),Drama,2020,1476,0.479,"3,079",A
Highers (SCQF level 6),Drama,2020,2378,0.772,"3,079",B & above
Highers (SCQF level 6),Drama,2020,2930,0.9520000000000001,"3,079",C & above
Highers (SCQF level 6),Drama,2020,3041,0.988,"3,079",D & above
Highers (SCQF level 6),Drama,2020,38,0.012,"3,079",U
Highers (SCQF level 6),Economics,2020,289,0.512,565,A
Highers (SCQF level 6),Economics,2020,432,0.765,565,B & above
Highers (SCQF level 6),Economics,2020,521,0.922,565,C & above
Highers (SCQF level 6),Economics,2020,551,0.975,565,D & above
Highers (SCQF level 6),Economics,2020,14,0.025,565,U
Highers (SCQF level 6),Engineering Science,2020,433,0.406,"1,066",A
Highers (SCQF level 6),Engineering Science,2020,719,0.674,"1,066",B & above
Highers (SCQF level 6),Engineering Science,2020,950,0.8909999999999999,"1,066",C & above
Highers (SCQF level 6),Engineering Science,2020,1031,0.9670000000000001,"1,066",D & above
Highers (SCQF level 6),Engineering Science,2020,35,0.033,"1,066",U
Highers (SCQF level 6),English,2020,11537,0.317,"36,368",A
Highers (SCQF level 6),English,2020,22014,0.605,"36,368",B & above
Highers (SCQF level 6),English,2020,31789,0.8740000000000001,"36,368",C & above
Highers (SCQF level 6),English,2020,35089,0.965,"36,368",D & above
Highers (SCQF level 6),English,2020,1279,0.035,"36,368",U
Highers (SCQF level 6),English for Speakers of Other Languages,2020,400,0.541,740,A
Highers (SCQF level 6),English for Speakers of Other Languages,2020,592,0.8,740,B & above
Highers (SCQF level 6),English for Speakers of Other Languages,2020,724,0.978,740,C & above
Highers (SCQF level 6),English for Speakers of Other Languages,2020,738,0.997,740,D & above
Highers (SCQF level 6),English for Speakers of Other Languages,2020,2,0.003,740,U
Highers (SCQF level 6),Environmental Science,2020,112,0.311,360,A
Highers (SCQF level 6),Environmental Science,2020,217,0.603,360,B & above
Highers (SCQF level 6),Environmental Science,2020,322,0.894,360,C & above
Highers (SCQF level 6),Environmental Science,2020,351,0.975,360,D & above
Highers (SCQF level 6),Environmental Science,2020,9,0.025,360,U
Highers (SCQF level 6),Fashion and Textile Technology,2020,62,0.36700000000000005,169,A
Highers (SCQF level 6),Fashion and Textile Technology,2020,120,0.71,169,B & above
Highers (SCQF level 6),Fashion and Textile Technology,2020,160,0.9470000000000001,169,C & above
Highers (SCQF level 6),Fashion and Textile Technology,2020,165,0.976,169,D & above
Highers (SCQF level 6),Fashion and Textile Technology,2020,4,0.024,169,U
Highers (SCQF level 6),French,2020,2114,0.6679999999999999,"3,167",A
Highers (SCQF level 6),French,2020,2726,0.861,"3,167",B & above
Highers (SCQF level 6),French,2020,3067,0.968,"3,167",C & above
Highers (SCQF level 6),French,2020,3137,0.991,"3,167",D & above
Highers (SCQF level 6),French,2020,30,0.009000000000000001,"3,167",U
Highers (SCQF level 6),Gàidhlig,2020,69,0.531,130,A
Highers (SCQF level 6),Gàidhlig,2020,114,0.877,130,B & above
Highers (SCQF level 6),Gàidhlig,2020,128,0.985,130,C & above
Highers (SCQF level 6),Gàidhlig,2020,129,0.992,130,D & above
Highers (SCQF level 6),Gàidhlig,2020,1,0.008,130,U
Highers (SCQF level 6),Geography,2020,2633,0.409,"6,437",A
Highers (SCQF level 6),Geography,2020,4253,0.6609999999999999,"6,437",B & above
Highers (SCQF level 6),Geography,2020,5725,0.889,"6,437",C & above
Highers (SCQF level 6),Geography,2020,6213,0.965,"6,437",D & above
Highers (SCQF level 6),Geography,2020,224,0.035,"6,437",U
Highers (SCQF level 6),German,2020,548,0.703,780,A
Highers (SCQF level 6),German,2020,680,0.872,780,B & above
Highers (SCQF level 6),German,2020,761,0.976,780,C & above
Highers (SCQF level 6),German,2020,775,0.9940000000000001,780,D & above
Highers (SCQF level 6),German,2020,5,0.006,780,U
Highers (SCQF level 6),Graphic Communication,2020,1265,0.38299999999999995,"3,299",A
Highers (SCQF level 6),Graphic Communication,2020,2367,0.7170000000000001,"3,299",B & above
Highers (SCQF level 6),Graphic Communication,2020,3112,0.943,"3,299",C & above
Highers (SCQF level 6),Graphic Communication,2020,3263,0.9890000000000001,"3,299",D & above
Highers (SCQF level 6),Graphic Communication,2020,36,0.011000000000000001,"3,299",U
Highers (SCQF level 6),Health and Food Technology,2020,348,0.313,"1,112",A
Highers (SCQF level 6),Health and Food Technology,2020,728,0.655,"1,112",B & above
Highers (SCQF level 6),Health and Food Technology,2020,1021,0.9179999999999999,"1,112",C & above
Highers (SCQF level 6),Health and Food Technology,2020,1088,0.978,"1,112",D & above
Highers (SCQF level 6),Health and Food Technology,2020,24,0.022000000000000002,"1,112",U
Highers (SCQF level 6),History,2020,4126,0.41600000000000004,"9,919",A
Highers (SCQF level 6),History,2020,6876,0.693,"9,919",B & above
Highers (SCQF level 6),History,2020,9001,0.907,"9,919",C & above
Highers (SCQF level 6),History,2020,9606,0.968,"9,919",D & above
Highers (SCQF level 6),History,2020,313,0.032,"9,919",U
Highers (SCQF level 6),Human Biology,2020,2244,0.322,"6,968",A
Highers (SCQF level 6),Human Biology,2020,4033,0.579,"6,968",B & above
Highers (SCQF level 6),Human Biology,2020,5868,0.8420000000000001,"6,968",C & above
Highers (SCQF level 6),Human Biology,2020,6574,0.943,"6,968",D & above
Highers (SCQF level 6),Human Biology,2020,394,0.057,"6,968",U
Highers (SCQF level 6),Italian,2020,195,0.8059999999999999,242,A
Highers (SCQF level 6),Italian,2020,230,0.95,242,B & above
Highers (SCQF level 6),Italian,2020,242,1,242,C & above
Highers (SCQF level 6),Italian,2020,242,1,242,D & above
Highers (SCQF level 6),Italian,2020,0,0,242,U
Highers (SCQF level 6),Latin,2020,190,0.7170000000000001,265,A
Highers (SCQF level 6),Latin,2020,235,0.887,265,B & above
Highers (SCQF level 6),Latin,2020,255,0.9620000000000001,265,C & above
Highers (SCQF level 6),Latin,2020,264,0.996,265,D & above
Highers (SCQF level 6),Latin,2020,1,0.004,265,U
Highers (SCQF level 6),Mathematics,2020,7785,0.406,"19,182",A
Highers (SCQF level 6),Mathematics,2020,11966,0.624,"19,182",B & above
Highers (SCQF level 6),Mathematics,2020,15980,0.833,"19,182",C & above
Highers (SCQF level 6),Mathematics,2020,17551,0.915,"19,182",D & above
Highers (SCQF level 6),Mathematics,2020,1631,0.085,"19,182",U
Highers (SCQF level 6),Media,2020,323,0.35200000000000004,918,A
Highers (SCQF level 6),Media,2020,601,0.655,918,B & above
Highers (SCQF level 6),Media,2020,830,0.904,918,C & above
Highers (SCQF level 6),Media,2020,890,0.9690000000000001,918,D & above
Highers (SCQF level 6),Media,2020,28,0.031,918,U
Highers (SCQF level 6),Modern Studies,2020,3754,0.44299999999999995,"8,474",A
Highers (SCQF level 6),Modern Studies,2020,5918,0.698,"8,474",B & above
Highers (SCQF level 6),Modern Studies,2020,7694,0.9079999999999999,"8,474",C & above
Highers (SCQF level 6),Modern Studies,2020,8180,0.965,"8,474",D & above
Highers (SCQF level 6),Modern Studies,2020,294,0.035,"8,474",U
Highers (SCQF level 6),Music,2020,3123,0.614,"5,088",A
Highers (SCQF level 6),Music,2020,4384,0.862,"5,088",B & above
Highers (SCQF level 6),Music,2020,4988,0.98,"5,088",C & above
Highers (SCQF level 6),Music,2020,5063,0.995,"5,088",D & above
Highers (SCQF level 6),Music,2020,25,0.005,"5,088",U
Highers (SCQF level 6),Music Technology,2020,401,0.48,835,A
Highers (SCQF level 6),Music Technology,2020,667,0.799,835,B & above
Highers (SCQF level 6),Music Technology,2020,810,0.97,835,C & above
Highers (SCQF level 6),Music Technology,2020,826,0.9890000000000001,835,D & above
Highers (SCQF level 6),Music Technology,2020,9,0.011000000000000001,835,U
Highers (SCQF level 6),Philosophy,2020,220,0.374,588,A
Highers (SCQF level 6),Philosophy,2020,391,0.665,588,B & above
Highers (SCQF level 6),Philosophy,2020,521,0.8859999999999999,588,C & above
Highers (SCQF level 6),Philosophy,2020,557,0.9470000000000001,588,D & above
Highers (SCQF level 6),Philosophy,2020,31,0.053,588,U
Highers (SCQF level 6),Photography,2020,915,0.389,"2,354",A
Highers (SCQF level 6),Photography,2020,1689,0.718,"2,354",B & above
Highers (SCQF level 6),Photography,2020,2209,0.938,"2,354",C & above
Highers (SCQF level 6),Photography,2020,2302,0.978,"2,354",D & above
Highers (SCQF level 6),Photography,2020,52,0.022000000000000002,"2,354",U
Highers (SCQF level 6),Physical Education,2020,4124,0.387,"10,644",A
Highers (SCQF level 6),Physical Education,2020,7534,0.708,"10,644",B & above
Highers (SCQF level 6),Physical Education,2020,10025,0.9420000000000001,"10,644",C & above
Highers (SCQF level 6),Physical Education,2020,10552,0.991,"10,644",D & above
Highers (SCQF level 6),Physical Education,2020,92,0.009000000000000001,"10,644",U
Highers (SCQF level 6),Physics,2020,3484,0.415,"8,392",A
Highers (SCQF level 6),Physics,2020,5492,0.654,"8,392",B & above
Highers (SCQF level 6),Physics,2020,7269,0.866,"8,392",C & above
Highers (SCQF level 6),Physics,2020,7971,0.95,"8,392",D & above
Highers (SCQF level 6),Physics,2020,421,0.05,"8,392",U
Highers (SCQF level 6),Politics,2020,626,0.47700000000000004,"1,312",A
Highers (SCQF level 6),Politics,2020,958,0.73,"1,312",B & above
Highers (SCQF level 6),Politics,2020,1210,0.922,"1,312",C & above
Highers (SCQF level 6),Politics,2020,1265,0.9640000000000001,"1,312",D & above
Highers (SCQF level 6),Politics,2020,47,0.036000000000000004,"1,312",U
Highers (SCQF level 6),Psychology,2020,1023,0.33,"3,103",A
Highers (SCQF level 6),Psychology,2020,1838,0.5920000000000001,"3,103",B & above
Highers (SCQF level 6),Psychology,2020,2563,0.826,"3,103",C & above
Highers (SCQF level 6),Psychology,2020,2820,0.909,"3,103",D & above
Highers (SCQF level 6),Psychology,2020,283,0.091,"3,103",U
Highers (SCQF level 6),"Religious, Moral and Philosophical Studies",2020,1552,0.44,"3,531",A
Highers (SCQF level 6),"Religious, Moral and Philosophical Studies",2020,2511,0.711,"3,531",B & above
Highers (SCQF level 6),"Religious, Moral and Philosophical Studies",2020,3213,0.91,"3,531",C & above
Highers (SCQF level 6),"Religious, Moral and Philosophical Studies",2020,3432,0.972,"3,531",D & above
Highers (SCQF level 6),"Religious, Moral and Philosophical Studies",2020,99,0.027999999999999997,"3,531",U
Highers (SCQF level 6),Sociology,2020,281,0.371,757,A
Highers (SCQF level 6),Sociology,2020,469,0.62,757,B & above
Highers (SCQF level 6),Sociology,2020,619,0.818,757,C & above
Highers (SCQF level 6),Sociology,2020,687,0.9079999999999999,757,D & above
Highers (SCQF level 6),Sociology,2020,70,0.092,757,U
Highers (SCQF level 6),Spanish,2020,1763,0.608,"2,901",A
Highers (SCQF level 6),Spanish,2020,2384,0.8220000000000001,"2,901",B & above
Highers (SCQF level 6),Spanish,2020,2789,0.961,"2,901",C & above
Highers (SCQF level 6),Spanish,2020,2874,0.991,"2,901",D & above
Highers (SCQF level 6),Spanish,2020,27,0.009000000000000001,"2,901",U
Highers (SCQF level 6),All subjects,2020,74478,0.4,"186,214",A
Highers (SCQF level 6),All subjects,2020,124620,0.669,"186,214",B & above
Highers (SCQF level 6),All subjects,2020,166208,0.893,"186,214",C & above
Highers (SCQF level 6),All subjects,2020,179190,0.9620000000000001,"186,214",D & above
Highers (SCQF level 6),All subjects,2020,7024,0.038,"186,214",U
National 5 (SCQF level 5),Accounting,2021,509,0.564,902,A
National 5 (SCQF level 5),Accounting,2021,656,0.727,902,B & above
National 5 (SCQF level 5),Accounting,2021,792,0.878,902,C & above
National 5 (SCQF level 5),Accounting,2021,850,0.9420000000000001,902,D & above
National 5 (SCQF level 5),Accounting,2021,52,0.057999999999999996,902,U
National 5 (SCQF level 5),Administration and IT,2021,2665,0.49200000000000005,"5,421",A
National 5 (SCQF level 5),Administration and IT,2021,4087,0.754,"5,421",B & above
National 5 (SCQF level 5),Administration and IT,2021,5020,0.9259999999999999,"5,421",C & above
National 5 (SCQF level 5),Administration and IT,2021,5313,0.98,"5,421",D & above
National 5 (SCQF level 5),Administration and IT,2021,108,0.02,"5,421",U
National 5 (SCQF level 5),Applications of Mathematics,2021,2442,0.22699999999999998,"10,749",A
National 5 (SCQF level 5),Applications of Mathematics,2021,4266,0.397,"10,749",B & above
National 5 (SCQF level 5),Applications of Mathematics,2021,6874,0.64,"10,749",C & above
National 5 (SCQF level 5),Applications of Mathematics,2021,8692,0.809,"10,749",D & above
National 5 (SCQF level 5),Applications of Mathematics,2021,2057,0.191,"10,749",U
National 5 (SCQF level 5),Art and Design,2021,4749,0.474,"10,019",A
National 5 (SCQF level 5),Art and Design,2021,7403,0.7390000000000001,"10,019",B & above
National 5 (SCQF level 5),Art and Design,2021,9410,0.9390000000000001,"10,019",C & above
National 5 (SCQF level 5),Art and Design,2021,9861,0.9840000000000001,"10,019",D & above
National 5 (SCQF level 5),Art and Design,2021,158,0.016,"10,019",U
National 5 (SCQF level 5),Biology,2021,7745,0.365,"21,196",A
National 5 (SCQF level 5),Biology,2021,11718,0.5529999999999999,"21,196",B & above
National 5 (SCQF level 5),Biology,2021,16075,0.758,"21,196",C & above
National 5 (SCQF level 5),Biology,2021,19218,0.907,"21,196",D & above
National 5 (SCQF level 5),Biology,2021,1978,0.09300000000000001,"21,196",U
National 5 (SCQF level 5),Business Management,2021,3353,0.413,"8,120",A
National 5 (SCQF level 5),Business Management,2021,5071,0.625,"8,120",B & above
National 5 (SCQF level 5),Business Management,2021,6760,0.833,"8,120",C & above
National 5 (SCQF level 5),Business Management,2021,7543,0.929,"8,120",D & above
National 5 (SCQF level 5),Business Management,2021,577,0.071,"8,120",U
National 5 (SCQF level 5),Care,2021,49,0.33299999999999996,147,A
National 5 (SCQF level 5),Care,2021,82,0.5579999999999999,147,B & above
National 5 (SCQF level 5),Care,2021,104,0.7070000000000001,147,C & above
National 5 (SCQF level 5),Care,2021,123,0.8370000000000001,147,D & above
National 5 (SCQF level 5),Care,2021,24,0.163,147,U
National 5 (SCQF level 5),Chemistry,2021,6820,0.45,"15,155",A
National 5 (SCQF level 5),Chemistry,2021,9612,0.634,"15,155",B & above
National 5 (SCQF level 5),Chemistry,2021,12417,0.8190000000000001,"15,155",C & above
National 5 (SCQF level 5),Chemistry,2021,14149,0.934,"15,155",D & above
National 5 (SCQF level 5),Chemistry,2021,1006,0.066,"15,155",U
National 5 (SCQF level 5),Chinese Languages,2021,183,0.747,245,A
National 5 (SCQF level 5),Chinese Languages,2021,213,0.8690000000000001,245,B & above
National 5 (SCQF level 5),Chinese Languages,2021,231,0.943,245,C & above
National 5 (SCQF level 5),Chinese Languages,2021,242,0.988,245,D & above
National 5 (SCQF level 5),Chinese Languages,2021,3,0.012,245,U
National 5 (SCQF level 5),Computing Science,2021,2861,0.455,"6,288",A
National 5 (SCQF level 5),Computing Science,2021,4201,0.6679999999999999,"6,288",B & above
National 5 (SCQF level 5),Computing Science,2021,5426,0.863,"6,288",C & above
National 5 (SCQF level 5),Computing Science,2021,5965,0.9490000000000001,"6,288",D & above
National 5 (SCQF level 5),Computing Science,2021,323,0.051,"6,288",U
National 5 (SCQF level 5),Dance,2021,413,0.508,813,A
National 5 (SCQF level 5),Dance,2021,581,0.715,813,B & above
National 5 (SCQF level 5),Dance,2021,740,0.91,813,C & above
National 5 (SCQF level 5),Dance,2021,791,0.973,813,D & above
National 5 (SCQF level 5),Dance,2021,22,0.027000000000000003,813,U
National 5 (SCQF level 5),Design and Manufacture,2021,1511,0.335,"4,506",A
National 5 (SCQF level 5),Design and Manufacture,2021,2681,0.595,"4,506",B & above
National 5 (SCQF level 5),Design and Manufacture,2021,3892,0.8640000000000001,"4,506",C & above
National 5 (SCQF level 5),Design and Manufacture,2021,4353,0.966,"4,506",D & above
National 5 (SCQF level 5),Design and Manufacture,2021,153,0.034,"4,506",U
National 5 (SCQF level 5),Drama,2021,3005,0.62,"4,849",A
National 5 (SCQF level 5),Drama,2021,3974,0.82,"4,849",B & above
National 5 (SCQF level 5),Drama,2021,4632,0.955,"4,849",C & above
National 5 (SCQF level 5),Drama,2021,4768,0.983,"4,849",D & above
National 5 (SCQF level 5),Drama,2021,81,0.017,"4,849",U
National 5 (SCQF level 5),Economics,2021,243,0.818,297,A
National 5 (SCQF level 5),Economics,2021,271,0.912,297,B & above
National 5 (SCQF level 5),Economics,2021,290,0.976,297,C & above
National 5 (SCQF level 5),Economics,2021,292,0.983,297,D & above
National 5 (SCQF level 5),Economics,2021,5,0.017,297,U
National 5 (SCQF level 5),Engineering Science,2021,965,0.528,"1,829",A
National 5 (SCQF level 5),Engineering Science,2021,1282,0.701,"1,829",B & above
National 5 (SCQF level 5),Engineering Science,2021,1573,0.86,"1,829",C & above
National 5 (SCQF level 5),Engineering Science,2021,1726,0.9440000000000001,"1,829",D & above
National 5 (SCQF level 5),Engineering Science,2021,103,0.055999999999999994,"1,829",U
National 5 (SCQF level 5),English,2021,22300,0.47600000000000003,"46,852",A
National 5 (SCQF level 5),English,2021,33571,0.7170000000000001,"46,852",B & above
National 5 (SCQF level 5),English,2021,42632,0.91,"46,852",C & above
National 5 (SCQF level 5),English,2021,45679,0.975,"46,852",D & above
National 5 (SCQF level 5),English,2021,1173,0.025,"46,852",U
National 5 (SCQF level 5),English for Speakers of Other Languages,2021,329,0.358,919,A
